id,city_name,signup_os,signup_channel,signup_date,bgc_date,vehicle_added_date,first_completed_date,vehicle_make,vehicle_model,vehicle_year
45,Vale do Sol,ios web,Referral,1/23/23,1/23/23,,,,,
46,Vale do Sol,android web,Organic,1/25/23,1/28/23,2/1/23,,Mercedes-Benz,E-Class,2006.0
47,Vila Rica,other,Paid,1/6/23,1/7/23,1/12/23,,Nissan,Altima,2015.0
48,Vale do Sol,android web,Referral,1/1/23,,,,,,
49,Vila Rica,android web,Organic,1/1/23,1/1/23,,,,,
50,Vale do Sol,ios web,Organic,1/12/23,,,,,,
51,Vila Rica,android web,Paid,1/30/23,1/31/23,,,,,
52,Vila Rica,ios web,Organic,1/20/23,1/20/23,1/24/23,1/30/23,Hyundai,Sonata,2016.0
53,Vale do Sol,android web,Organic,1/24/23,1/24/23,,,,,
54,Vale do Sol,ios web,Paid,1/2/23,1/2/23,1/4/23,,Ford,Escape,2015.0
55,Vila Rica,other,Paid,1/24/23,,,,,,
56,Vale do Sol,android web,Paid,1/30/23,,,,,,
57,Vila Rica,windows,Referral,1/27/23,1/30/23,2/6/23,2/9/23,Hyundai,Accent,2015.0
58,Vale do Sol,ios web,Referral,1/4/23,,,,,,
59,Vale do Sol,ios web,Paid,1/28/23,,,,,,
60,Vale do Sol,ios web,Referral,1/31/23,1/31/23,2/3/23,2/4/23,BMW,X3,2004.0
61,Vale do Sol,other,Paid,1/17/23,1/19/23,1/20/23,,Toyota,Highlander,2008.0
62,Porto Seguro,ios web,Referral,1/20/23,,,,,,
63,Porto Seguro,windows,Organic,1/16/23,,,,,,
64,Vale do Sol,ios web,Paid,1/26/23,1/28/23,1/28/23,,Honda,Accord,2009.0
65,Vale do Sol,other,Paid,1/15/23,,,,,,
66,Vila Rica,ios web,Organic,1/24/23,,,,,,
67,Vale do Sol,ios web,Paid,1/12/23,,,,,,
68,Vale do Sol,other,Paid,1/12/23,,,,,,
69,Vale do Sol,android web,Referral,1/27/23,2/3/23,,,,,
70,Vila Rica,other,Referral,1/30/23,1/30/23,,,,,
71,Porto Seguro,other,Referral,1/30/23,1/30/23,1/31/23,,Toyota,Sienna,2002.0
72,Vila Rica,mac,Referral,1/9/23,1/11/23,,,,,
73,Vila Rica,ios web,Paid,1/24/23,,,,,,
74,Vale do Sol,ios web,Paid,1/21/23,,,,,,
75,Vila Rica,android web,Organic,1/7/23,,,,,,
76,Vale do Sol,mac,Paid,1/30/23,2/4/23,,,,,
77,Vila Rica,android web,Referral,1/1/23,1/4/23,,,,,
78,Vila Rica,ios web,Paid,1/29/23,1/29/23,1/29/23,,Honda,Pilot,2015.0
79,Vila Rica,android web,Organic,1/16/23,1/17/23,,,,,
80,Vale do Sol,ios web,Referral,1/24/23,1/28/23,1/29/23,2/7/23,Toyota,Camry,2005.0
81,Vila Rica,mac,Referral,1/14/23,1/15/23,,,,,
82,Vila Rica,android web,Organic,1/27/23,1/27/23,1/28/23,,Honda,Civic,2015.0
83,Vila Rica,ios web,Organic,1/11/23,1/17/23,,,,,
84,Vale do Sol,android web,Referral,1/5/23,,,,,,
85,Porto Seguro,android web,Paid,1/18/23,1/19/23,,,,,
86,Vale do Sol,mac,Referral,1/7/23,,,,,,
87,Vale do Sol,ios web,Organic,1/28/23,2/2/23,2/7/23,,Nissan,Sentra,2012.0
88,Vale do Sol,ios web,Referral,1/27/23,2/1/23,2/1/23,2/1/23,Kia,Sorento,2015.0
89,Vale do Sol,mac,Referral,1/1/23,1/3/23,,,,,
90,Porto Seguro,android web,Paid,1/24/23,1/26/23,,,,,
91,Vale do Sol,ios web,Organic,1/20/23,,,,,,
92,Vila Rica,android web,Referral,1/23/23,1/24/23,,,,,
93,Vila Rica,ios web,Referral,1/24/23,1/25/23,1/25/23,1/25/23,Nissan,Sentra,2015.0
94,Vale do Sol,android web,Referral,1/24/23,1/25/23,,,,,
95,Vale do Sol,other,Paid,1/3/23,1/5/23,,,,,
96,Porto Seguro,ios web,Paid,1/4/23,1/5/23,,,,,
97,Vale do Sol,android web,Referral,1/4/23,1/4/23,,,,,
98,Vila Rica,android web,Organic,1/2/23,1/2/23,,,,,
99,Vila Rica,windows,Paid,1/8/23,,,,,,
100,Vila Rica,ios web,Paid,1/4/23,1/4/23,1/16/23,,Mercedes-Benz,GL-Class,2009.0
101,Vila Rica,ios web,Paid,1/17/23,1/21/23,,,,,
102,Vale do Sol,windows,Paid,1/30/23,2/6/23,,,,,
103,Vale do Sol,android web,Referral,1/1/23,1/1/23,1/1/23,,Toyota,Camry,2001.0
104,Vale do Sol,mac,Referral,1/23/23,,,,,,
105,Porto Seguro,windows,Paid,1/14/23,1/16/23,,,,,
106,Vale do Sol,android web,Organic,1/28/23,,,,,,
107,Vale do Sol,android web,Paid,1/5/23,,,,,,
108,Vale do Sol,ios web,Paid,1/25/23,,,,,,
109,Porto Seguro,android web,Referral,1/30/23,,,,,,
110,Vale do Sol,android web,Referral,1/22/23,1/22/23,,,,,
111,Vila Rica,ios web,Paid,1/24/23,,,,,,
112,Porto Seguro,ios web,Paid,1/28/23,1/30/23,2/3/23,,Nissan,Altima,2015.0
113,Vila Rica,ios web,Organic,1/18/23,,,,,,
114,Vale do Sol,ios web,Paid,1/25/23,1/25/23,,,,,
115,Porto Seguro,android web,Paid,1/13/23,1/13/23,1/13/23,,Honda,Civic,2016.0
116,Vila Rica,ios web,Referral,1/18/23,1/19/23,1/20/23,,Kia,Forte,2014.0
117,Vale do Sol,ios web,Organic,1/3/23,1/7/23,,,,,
118,Porto Seguro,ios web,Paid,1/28/23,1/28/23,,,,,
119,Vila Rica,android web,Paid,1/2/23,1/3/23,1/7/23,,Ford,Focus,2015.0
120,Vale do Sol,ios web,Paid,1/22/23,1/27/23,,,,,
121,Vale do Sol,android web,Organic,1/2/23,,,,,,
122,Vila Rica,mac,Referral,1/10/23,,,,,,
123,Porto Seguro,android web,Paid,1/16/23,1/20/23,,,,,
124,Vale do Sol,android web,Paid,1/24/23,1/26/23,1/29/23,,Hyundai,Elantra,2016.0
125,Vale do Sol,windows,Paid,1/23/23,1/23/23,,,,,
126,Vale do Sol,mac,Organic,1/19/23,1/21/23,1/21/23,,Toyota,Camry,2003.0
127,Vale do Sol,android web,Paid,1/13/23,1/13/23,1/19/23,,Mazda,MAZDA3,2012.0
128,Vila Rica,ios web,Paid,1/2/23,,,,,,
129,Vale do Sol,mac,Paid,1/14/23,,,,,,
130,Vila Rica,other,Organic,1/7/23,,,,,,
131,Vale do Sol,ios web,Organic,1/2/23,1/7/23,,,,,
132,Vale do Sol,ios web,Paid,1/9/23,1/12/23,,,,,
133,Vale do Sol,ios web,Referral,1/31/23,2/2/23,,,,,
134,Porto Seguro,mac,Organic,1/2/23,1/5/23,,,,,
135,Vale do Sol,mac,Organic,1/27/23,1/27/23,,,,,
136,Vila Rica,android web,Paid,1/31/23,2/2/23,,,,,
137,Vila Rica,other,Organic,1/10/23,1/10/23,,,,,
138,Vale do Sol,ios web,Referral,1/1/23,,,,,,
139,Porto Seguro,android web,Referral,1/25/23,1/25/23,,,,,
140,Vale do Sol,mac,Paid,1/27/23,1/27/23,,,,,
141,Vila Rica,mac,Organic,1/17/23,1/17/23,,,,,
142,Vale do Sol,android web,Paid,1/30/23,,,,,,
143,Vila Rica,android web,Referral,1/22/23,1/24/23,1/24/23,1/24/23,Toyota,Tacoma,2015.0
144,Porto Seguro,ios web,Paid,1/22/23,,,,,,
145,Vila Rica,android web,Paid,1/10/23,1/10/23,1/18/23,,Kia,Rio,2009.0
146,Vale do Sol,android web,Paid,1/9/23,1/9/23,1/9/23,,Chevrolet,Suburban,2008.0
147,Porto Seguro,android web,Referral,1/6/23,,,,,,
148,Vila Rica,mac,Referral,1/5/23,1/6/23,,,,,
149,Vale do Sol,windows,Paid,1/27/23,,,,,,
150,Porto Seguro,android web,Referral,1/14/23,1/14/23,1/26/23,2/11/23,Nissan,Versa,2015.0
151,Vale do Sol,other,Organic,1/22/23,1/25/23,,,,,
152,Vila Rica,windows,Paid,1/15/23,1/18/23,1/28/23,2/8/23,Honda,Pilot,2010.0
153,Vale do Sol,windows,Paid,1/12/23,1/13/23,,,,,
154,Porto Seguro,ios web,Paid,1/31/23,,,,,,
155,Vale do Sol,android web,Paid,1/27/23,,,,,,
156,Vila Rica,android web,Referral,1/2/23,,,,,,
157,Porto Seguro,windows,Organic,1/5/23,1/6/23,1/17/23,1/19/23,Honda,Civic,2008.0
158,Porto Seguro,android web,Organic,1/9/23,1/12/23,1/20/23,1/20/23,Nissan,Rogue,2015.0
159,Vale do Sol,android web,Referral,1/27/23,,,,,,
160,Porto Seguro,other,Referral,1/17/23,1/17/23,,,,,
161,Vila Rica,ios web,Referral,1/1/23,1/6/23,1/6/23,,Toyota,Corolla,2016.0
162,Porto Seguro,ios web,Organic,1/14/23,1/14/23,,,,,
163,Vila Rica,ios web,Referral,1/5/23,,,,,,
164,Vale do Sol,ios web,Referral,1/31/23,2/5/23,,,,,
165,Vila Rica,android web,Organic,1/20/23,1/22/23,,,,,
166,Vale do Sol,mac,Organic,1/14/23,1/15/23,1/15/23,,Land Rover,Range Rover,2009.0
167,Vila Rica,ios web,Referral,1/4/23,,,,,,
168,Vila Rica,mac,Paid,1/30/23,,,,,,
169,Vale do Sol,ios web,Referral,1/10/23,1/10/23,,,,,
170,Vila Rica,windows,Organic,1/20/23,,,,,,
171,Vila Rica,ios web,Organic,1/11/23,1/11/23,,,,,
172,Porto Seguro,ios web,Referral,1/31/23,,,,,,
173,Vale do Sol,other,Referral,1/6/23,1/8/23,,,,,
174,Vila Rica,android web,Paid,1/2/23,1/2/23,,,,,
175,Vale do Sol,android web,Organic,1/17/23,1/19/23,,,,,
176,Vale do Sol,ios web,Paid,1/12/23,1/13/23,,,,,
177,Porto Seguro,mac,Paid,1/24/23,,,,,,
178,Porto Seguro,android web,Organic,1/14/23,,,,,,
179,Porto Seguro,android web,Paid,1/6/23,1/6/23,1/6/23,,Chevrolet,Impala,2003.0
180,Vila Rica,android web,Organic,1/24/23,1/24/23,,,,,
181,Porto Seguro,windows,Referral,1/9/23,,,,,,
182,Vale do Sol,mac,Paid,1/3/23,1/8/23,,,,,
183,Vale do Sol,ios web,Organic,1/29/23,,,,,,
184,Vale do Sol,windows,Paid,1/23/23,1/23/23,,,,,
185,Vale do Sol,other,Referral,1/30/23,1/30/23,1/30/23,,Kia,Sedona,2015.0
186,Vale do Sol,android web,Referral,1/7/23,1/8/23,,,,,
187,Vale do Sol,android web,Paid,1/19/23,1/19/23,1/25/23,,Honda,Civic,2015.0
188,Porto Seguro,ios web,Organic,1/21/23,1/21/23,,,,,
189,Vila Rica,ios web,Organic,1/30/23,2/1/23,2/2/23,,Kia,Sorento,2012.0
190,Porto Seguro,android web,Organic,1/8/23,,,,,,
191,Vila Rica,windows,Paid,1/23/23,,,,,,
192,Vale do Sol,mac,Referral,1/15/23,1/18/23,,,,,
193,Vale do Sol,windows,Organic,1/23/23,,,,,,
194,Vale do Sol,ios web,Organic,1/20/23,,,,,,
195,Vila Rica,other,Referral,1/11/23,1/11/23,,,,,
196,Porto Seguro,other,Organic,1/18/23,1/19/23,,,,,
197,Vale do Sol,windows,Referral,1/31/23,1/31/23,,,,,
198,Vila Rica,ios web,Organic,1/8/23,,,,,,
199,Vale do Sol,windows,Paid,1/6/23,1/12/23,1/16/23,,Honda,Civic,2014.0
200,Vila Rica,android web,Paid,1/2/23,1/4/23,1/7/23,,Toyota,Corolla,2011.0
201,Vale do Sol,mac,Organic,1/22/23,1/23/23,,,,,
202,Vale do Sol,ios web,Paid,1/2/23,1/2/23,,,,,
203,Vila Rica,android web,Referral,1/3/23,1/4/23,,,,,
204,Vale do Sol,ios web,Organic,1/8/23,1/12/23,,,,,
205,Porto Seguro,android web,Referral,1/24/23,1/25/23,,,,,
206,Vila Rica,android web,Organic,1/23/23,1/25/23,,,,,
207,Vale do Sol,mac,Referral,1/15/23,1/15/23,1/15/23,,Hyundai,Santa Fe Sport,2011.0
208,Vale do Sol,ios web,Organic,1/3/23,1/3/23,1/3/23,,BMW,5-series,2002.0
209,Vale do Sol,android web,Referral,1/19/23,,,,,,
210,Vale do Sol,windows,Organic,1/15/23,1/17/23,,,,,
211,Porto Seguro,ios web,Paid,1/26/23,,,,,,
212,Vila Rica,ios web,Paid,1/24/23,1/31/23,,,,,
213,Vila Rica,mac,Paid,1/2/23,1/2/23,1/5/23,,Jeep,Grand Cherokee,2003.0
214,Vale do Sol,other,Paid,1/30/23,,,,,,
215,Vale do Sol,windows,Organic,1/4/23,1/4/23,,,,,
216,Vila Rica,other,Organic,1/26/23,1/29/23,1/29/23,1/29/23,Honda,CR-V,2015.0
217,Vila Rica,windows,Paid,1/20/23,1/20/23,2/2/23,,Lincoln,Navigator L,2002.0
218,Vale do Sol,mac,Paid,1/30/23,,,,,,
219,Vila Rica,mac,Paid,1/5/23,1/9/23,1/18/23,,Mazda,MAZDA6,2010.0
220,Vila Rica,ios web,Paid,1/26/23,,,,,,
221,Vale do Sol,windows,Referral,1/4/23,1/9/23,1/11/23,,Toyota,Camry,2007.0
222,Vila Rica,windows,Paid,1/2/23,1/2/23,1/4/23,,BMW,X5,2011.0
223,Porto Seguro,other,Paid,1/30/23,,,,,,
224,Vale do Sol,ios web,Referral,1/12/23,1/13/23,,,,,
225,Vila Rica,mac,Referral,1/7/23,1/9/23,1/10/23,1/13/23,BMW,X5,2013.0
226,Porto Seguro,windows,Paid,1/15/23,1/15/23,,,,,
227,Vale do Sol,android web,Paid,1/1/23,1/2/23,,,,,
228,Vale do Sol,android web,Organic,1/3/23,1/5/23,,,,,
229,Vale do Sol,ios web,Paid,1/29/23,1/30/23,,,,,
230,Vila Rica,other,Organic,1/17/23,1/20/23,,,,,
231,Vale do Sol,mac,Referral,1/3/23,1/3/23,1/5/23,,Toyota,Corolla,2004.0
232,Vale do Sol,mac,Paid,1/15/23,1/16/23,,,,,
233,Vale do Sol,android web,Paid,1/20/23,1/20/23,,,,,
234,Vila Rica,android web,Organic,1/8/23,,,,,,
235,Vale do Sol,android web,Referral,1/23/23,1/25/23,1/28/23,,Honda,CR-V,2015.0
236,Porto Seguro,android web,Organic,1/7/23,1/8/23,1/9/23,,Toyota,Camry,2008.0
237,Porto Seguro,android web,Paid,1/10/23,1/13/23,,,,,
238,Vale do Sol,other,Paid,1/22/23,,,,,,
239,Vila Rica,ios web,Paid,1/27/23,1/27/23,,,,,
240,Porto Seguro,android web,Organic,1/21/23,1/21/23,1/26/23,2/4/23,Honda,Civic,2005.0
241,Vila Rica,ios web,Referral,1/21/23,1/22/23,,,,,
242,Vale do Sol,android web,Organic,1/30/23,,,,,,
243,Vila Rica,ios web,Paid,1/5/23,1/9/23,1/11/23,1/15/23,Cadillac,Escalade,2008.0
244,Vale do Sol,other,Referral,1/14/23,1/16/23,,,,,
245,Vale do Sol,windows,Paid,1/4/23,,,,,,
246,Vale do Sol,ios web,Paid,1/9/23,1/11/23,1/14/23,1/15/23,Toyota,Prius V,2014.0
247,Vale do Sol,ios web,Referral,1/22/23,1/23/23,,,,,
248,Vila Rica,mac,Referral,1/23/23,1/25/23,,,,,
249,Porto Seguro,android web,Paid,1/28/23,1/28/23,,,,,
250,Vale do Sol,ios web,Organic,1/17/23,,,,,,
251,Vale do Sol,mac,Referral,1/18/23,,,,,,
252,Vila Rica,ios web,Paid,1/13/23,1/13/23,,,,,
253,Vale do Sol,android web,Referral,1/8/23,1/10/23,1/16/23,,Chrysler,Aspen,2007.0
254,Vila Rica,mac,Paid,1/3/23,,,,,,
255,Vale do Sol,ios web,Paid,1/6/23,1/7/23,,,,,
256,Vale do Sol,windows,Referral,1/1/23,1/4/23,,,,,
257,Porto Seguro,android web,Organic,1/3/23,,,,,,
258,Vale do Sol,ios web,Referral,1/2/23,1/3/23,,,,,
259,Vila Rica,android web,Paid,1/23/23,1/25/23,,,,,
260,Vila Rica,mac,Referral,1/16/23,1/17/23,1/17/23,1/17/23,Toyota,Avalon,2002.0
261,Porto Seguro,ios web,Organic,1/6/23,1/8/23,1/10/23,,Toyota,Prius V,2015.0
262,Porto Seguro,android web,Paid,1/16/23,,,,,,
263,Vila Rica,android web,Organic,1/6/23,1/8/23,1/10/23,1/10/23,Audi,Q5,2013.0
264,Vale do Sol,other,Organic,1/6/23,1/8/23,,,,,
265,Vale do Sol,windows,Paid,1/9/23,1/11/23,,,,,
266,Porto Seguro,ios web,Organic,1/29/23,1/29/23,,,,,
267,Vila Rica,android web,Organic,1/15/23,,,,,,
268,Vale do Sol,android web,Organic,1/4/23,1/7/23,1/8/23,,Honda,Accord,2014.0
269,Vale do Sol,windows,Organic,1/14/23,1/21/23,1/25/23,2/3/23,Kia,Optima,2015.0
270,Vale do Sol,ios web,Paid,1/8/23,1/8/23,,,,,
271,Vale do Sol,windows,Organic,1/26/23,1/26/23,,,,,
272,Porto Seguro,windows,Paid,1/10/23,1/13/23,,,,,
273,Porto Seguro,mac,Paid,1/28/23,1/29/23,1/31/23,2/2/23,Dodge,Grand Caravan,2009.0
274,Vila Rica,ios web,Referral,1/31/23,2/1/23,2/7/23,3/18/23,Ford,Fusion,2015.0
275,Vila Rica,mac,Referral,1/29/23,1/30/23,2/12/23,2/13/23,Volkswagen,Tiguan,2011.0
276,Porto Seguro,android web,Organic,1/25/23,,,,,,
277,Vale do Sol,ios web,Paid,1/10/23,1/10/23,,,,,
278,Vila Rica,ios web,Paid,1/30/23,,,,,,
279,Vale do Sol,ios web,Organic,1/8/23,,,,,,
280,Vale do Sol,android web,Paid,1/11/23,,,,,,
281,Vila Rica,windows,Paid,1/19/23,1/23/23,,,,,
282,Vale do Sol,mac,Organic,1/11/23,,,,,,
283,Vila Rica,android web,Referral,1/7/23,,,,,,
284,Vale do Sol,ios web,Referral,1/10/23,,,,,,
285,Vale do Sol,mac,Paid,1/17/23,,,,,,
286,Vale do Sol,mac,Paid,1/3/23,,,,,,
287,Vale do Sol,android web,Referral,1/29/23,2/1/23,,,,,
288,Vila Rica,android web,Paid,1/14/23,1/14/23,,,,,
289,Vale do Sol,mac,Organic,1/26/23,,,,,,
290,Porto Seguro,ios web,Referral,1/8/23,1/9/23,,,,,
291,Vale do Sol,mac,Referral,1/12/23,1/12/23,2/1/23,2/1/23,Toyota,Corolla,2004.0
292,Vila Rica,android web,Organic,1/13/23,,,,,,
293,Vila Rica,ios web,Paid,1/23/23,,,,,,
294,Porto Seguro,android web,Paid,1/31/23,1/31/23,,,,,
295,Vila Rica,mac,Organic,1/13/23,1/14/23,,,,,
296,Vale do Sol,ios web,Referral,1/11/23,1/11/23,1/11/23,1/12/23,Toyota,Avalon,2007.0
297,Vale do Sol,android web,Organic,1/25/23,1/28/23,1/28/23,2/14/23,Infiniti,Q50,2014.0
298,Vila Rica,mac,Organic,1/24/23,1/24/23,,,,,
299,Vale do Sol,ios web,Organic,1/7/23,1/7/23,,,,,
300,Vale do Sol,windows,Referral,1/31/23,,,,,,
301,Vila Rica,mac,Paid,1/8/23,1/11/23,1/12/23,,Audi,A4,2010.0
302,Vale do Sol,android web,Paid,1/4/23,1/5/23,1/6/23,,Dodge,Avenger,2013.0
303,Vale do Sol,ios web,Referral,1/28/23,1/28/23,1/28/23,1/30/23,Ford,Escape,2005.0
304,Vila Rica,android web,Paid,1/17/23,1/20/23,,,,,
305,Vale do Sol,windows,Referral,1/17/23,1/18/23,2/15/23,,Honda,Fit,2016.0
306,Vale do Sol,android web,Referral,1/8/23,1/9/23,,,,,
307,Porto Seguro,other,Paid,1/31/23,,,,,,
308,Vale do Sol,windows,Organic,1/29/23,,,,,,
309,Vila Rica,android web,Referral,1/3/23,,,,,,
310,Vale do Sol,other,Referral,1/31/23,2/3/23,,,,,
311,Vila Rica,ios web,Organic,1/24/23,1/25/23,1/25/23,1/26/23,Toyota,Prius V,2013.0
312,Vila Rica,windows,Paid,1/22/23,1/23/23,1/29/23,1/30/23,Infiniti,Q50,2014.0
313,Porto Seguro,mac,Paid,1/16/23,1/22/23,,,,,
314,Vale do Sol,mac,Referral,1/23/23,1/23/23,,,,,
315,Vale do Sol,ios web,Paid,1/10/23,1/10/23,1/11/23,,Kia,Soul,2015.0
316,Vale do Sol,android web,Referral,1/10/23,,,,,,
317,Vale do Sol,windows,Paid,1/20/23,,,,,,
318,Vila Rica,ios web,Referral,1/9/23,,,,,,
319,Porto Seguro,mac,Organic,1/18/23,,,,,,
320,Porto Seguro,ios web,Referral,1/18/23,1/19/23,1/31/23,2/3/23,Honda,Civic Hybrid,2008.0
321,Vale do Sol,ios web,Paid,1/1/23,,,,,,
322,Vale do Sol,android web,Paid,1/10/23,1/11/23,1/22/23,1/23/23,Honda,Civic,2013.0
323,Porto Seguro,android web,Paid,1/7/23,1/7/23,,,,,
324,Vila Rica,ios web,Referral,1/7/23,1/7/23,1/7/23,,Lexus,ES,2016.0
325,Vila Rica,android web,Paid,1/10/23,1/10/23,1/13/23,,Jaguar,S-Type,2001.0
326,Vila Rica,ios web,Paid,1/18/23,1/22/23,,,,,
327,Vila Rica,other,Paid,1/31/23,1/31/23,,,,,
328,Porto Seguro,windows,Paid,1/30/23,,,,,,
329,Vila Rica,android web,Referral,1/20/23,1/21/23,1/22/23,1/27/23,Toyota,Corolla,2013.0
330,Vale do Sol,windows,Organic,1/4/23,1/4/23,,,,,
331,Vale do Sol,ios web,Organic,1/25/23,,,,,,
332,Porto Seguro,ios web,Referral,1/2/23,,,,,,
333,Vale do Sol,ios web,Paid,1/20/23,,,,,,
334,Vale do Sol,ios web,Paid,1/24/23,,,,,,
335,Vila Rica,ios web,Paid,1/21/23,1/21/23,,,,,
336,Vale do Sol,android web,Paid,1/21/23,1/27/23,2/14/23,,Toyota,Corolla,2010.0
337,Vila Rica,mac,Paid,1/5/23,,,,,,
338,Vila Rica,android web,Referral,1/2/23,1/2/23,1/8/23,1/9/23,Mercedes-Benz,E-Class,2008.0
339,Vale do Sol,ios web,Paid,1/4/23,,,,,,
340,Vale do Sol,ios web,Organic,1/8/23,1/11/23,,,,,
341,Porto Seguro,ios web,Referral,1/2/23,,,,,,
342,Vale do Sol,ios web,Referral,1/2/23,1/3/23,1/5/23,1/26/23,Honda,Accord,2012.0
343,Vale do Sol,android web,Referral,1/16/23,1/16/23,1/19/23,1/22/23,Acura,TLX,2006.0
344,Porto Seguro,ios web,Referral,1/30/23,1/30/23,,,,,
345,Porto Seguro,windows,Referral,1/29/23,2/1/23,2/3/23,,Subaru,Impreza,2006.0
346,Vila Rica,mac,Referral,1/12/23,,,,,,
347,Porto Seguro,ios web,Paid,1/23/23,,,,,,
348,Vila Rica,ios web,Paid,1/3/23,1/5/23,1/5/23,,Dodge,Charger,2013.0
349,Vale do Sol,android web,Paid,1/11/23,1/11/23,,,,,
350,Vale do Sol,windows,Referral,1/17/23,1/17/23,1/18/23,1/18/23,Nissan,Rogue,2014.0
351,Vale do Sol,mac,Paid,1/13/23,,,,,,
352,Vale do Sol,ios web,Referral,1/13/23,1/17/23,1/23/23,1/31/23,Lexus,IS,2014.0
353,Vale do Sol,android web,Organic,1/16/23,1/17/23,,,,,
354,Vale do Sol,windows,Referral,1/17/23,1/20/23,,,,,
355,Vale do Sol,android web,Organic,1/3/23,1/8/23,,,,,
356,Porto Seguro,android web,Organic,1/1/23,,,,,,
357,Vale do Sol,windows,Paid,1/12/23,1/12/23,1/12/23,1/12/23,Pontiac,G6,2008.0
358,Vale do Sol,ios web,Paid,1/6/23,,,,,,
359,Vila Rica,ios web,Paid,1/20/23,,,,,,
360,Vale do Sol,ios web,Paid,1/19/23,1/20/23,,,,,
361,Porto Seguro,android web,Organic,1/16/23,1/16/23,,,,,
362,Vale do Sol,android web,Paid,1/30/23,1/30/23,2/10/23,,Toyota,Prius V,2015.0
363,Porto Seguro,windows,Referral,1/31/23,1/31/23,,,,,
364,Vale do Sol,windows,Paid,1/12/23,,,,,,
365,Porto Seguro,android web,Paid,1/17/23,,,,,,
366,Porto Seguro,android web,Organic,1/20/23,,,,,,
367,Porto Seguro,ios web,Referral,1/23/23,1/23/23,,,,,
368,Vale do Sol,ios web,Referral,1/2/23,,,,,,
369,Porto Seguro,windows,Referral,1/23/23,,,,,,
370,Vila Rica,ios web,Organic,1/19/23,,,,,,
